method,rep,t,ess
pf_ce,3,37,240.884
pf_ce,3,38,24.701
pf_ce,3,39,69.1207
pf_ce,3,40,170.638
pf_ce,3,41,115.416
pf_ce,3,42,218.07
pf_ce,3,43,1.30161
pf_ce,3,44,93.9791
pf_ce,3,45,174.631
pf_ce,3,46,178.628
pf_ce,3,47,39.102
pf_ce,3,48,208.069
pf_ce,3,49,199.745
pf_ce,3,50,110.061
pf_ce,3,51,13.6038
pf_ce,3,52,160.806
pf_ce,3,53,89.2863
pf_ce,3,54,134.434
pf_ce,3,55,20.7548
pf_ce,3,56,64.9032
pf_ce,3,57,167.816
pf_ce,3,58,181.727
pf_ce,3,59,167.924
pf_ce,3,60,12.2449
pf_ce,3,61,16.0441
pf_ce,3,62,51.2263
pf_ce,3,63,76.6602
pf_ce,3,64,100.428
pf_ce,3,65,32.6304
pf_ce,3,66,1.38275
pf_ce,3,67,71.9692
pf_ce,3,68,117.54
pf_ce,3,69,148.664
pf_ce,3,70,2.30585
pf_ce,3,71,7.74461
pf_ce,3,72,107.309
pf_ce,3,73,34.4568
pf_ce,3,74,105.709
pf_ce,3,75,103.698
pf_ce,3,76,61.4887
pf_ce,3,77,73.4382
pf_ce,3,78,167.494
pf_ce,3,79,177.23
